Member_ID,Gender,Income,Marriage,Education,Vocation,Age,Country,Zipcode,Regeistered_date,Receive_DM,Newsletter,New_product_notification,是否同意關企企業應運用,是否收到簡訊,是否收到EMAIL,是否收到電訪
2020041200028278,F,-,-,-,-,31,Taiwan,247,2020/04/12,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019051200017298,F,-,-,-,-,-,Taiwan,-,2019/05/12,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020071100031054,F,-,-,-,-,43,Taiwan,-,2020/07/11,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020100400034202,F,-,-,-,-,39,Taiwan,-,2020/10/04,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019053100017947,M,-,-,-,-,28,Taiwan,-,2019/05/31,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019120800024191,F,-,-,-,-,38,Taiwan,-,2019/12/08,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020102400035721,F,-,-,-,-,48,Taiwan,100,2020/10/24,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020041100028247,F,-,-,-,-,33,Taiwan,-,2020/04/11,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019060200018060,F,-,-,-,-,56,Taiwan,114,2019/06/02,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019061000018457,M,-,-,-,-,23,Taiwan,-,2019/06/10,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019061400018587,F,-,-,-,-,34,Taiwan,-,2019/06/14,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020080700032125,F,-,-,-,-,-,Taiwan,-,2020/08/07,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020050600029010,M,-,-,-,-,35,Taiwan,-,2020/05/06,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019092500021732,M,-,-,-,-,44,Taiwan,112,2019/09/25,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020111000036850,M,-,-,-,-,52,Taiwan,-,2020/11/10,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019061600018755,M,-,-,-,-,57,Taiwan,108,2019/06/16,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020052000029435,M,-,-,-,-,51,Taiwan,114,2020/05/20,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019101100022157,M,-,-,-,-,52,Taiwan,116,2019/10/11,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019070700019495,F,-,-,-,-,32,Taiwan,-,2019/07/07,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020022900027155,M,-,-,-,-,54,Taiwan,-,2020/02/29,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020022200026956,F,-,-,-,-,40,Taiwan,111,2020/02/22,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020090400033133,F,-,-,-,-,42,Taiwan,-,2020/09/04,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019102000022541,F,-,-,-,-,33,Taiwan,-,2019/10/20,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020071800031244,M,-,-,-,-,45,Taiwan,-,2020/07/18,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019071300019617,F,-,-,-,-,0,Taiwan,100,2019/07/13,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020080200031947,M,-,-,-,-,40,Taiwan,-,2020/08/02,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020100300034103,F,-,-,-,-,34,Taiwan,-,2020/10/03,一定要收到,-,-,TRUE,TRUE,TRUE,TRUE
2019111500023324,M,-,-,-,-,24,Taiwan,-,2019/11/15,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020062300030581,F,-,-,-,-,51,Taiwan,-,2020/06/23,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019081300020638,F,-,-,-,-,45,Taiwan,338,2019/08/13,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019081700020716,M,-,-,-,-,50,Taiwan,-,2019/08/17,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020101700034977,M,-,-,-,-,34,Taiwan,-,2020/10/17,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020022700027094,M,-,-,-,-,61,Taiwan,235,2020/02/27,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019081800020777,F,-,-,-,-,33,Taiwan,114,2019/08/18,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020103100036392,F,-,-,-,-,50,Taiwan,114,2020/10/31,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020052900029742,F,-,-,-,-,43,Taiwan,300,2020/05/29,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019042800016647,F,-,-,-,-,53,Taiwan,247,2019/04/28,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019020700014604,F,-,-,-,-,48,Taiwan,249,2019/02/07,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020103100036470,M,-,-,-,-,32,Taiwan,-,2020/10/31,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020030700027346,F,-,-,-,-,21,Taiwan,-,2020/03/07,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020110100036612,F,-,-,-,-,-,Taiwan,-,2020/11/01,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019032400015370,M,-,-,-,-,51,Taiwan,-,2019/03/24,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019021700014831,M,-,-,-,-,27,Taiwan,111,2019/02/17,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020111400036905,F,-,-,-,-,32,Taiwan,-,2020/11/14,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019030800015077,M,-,-,-,-,38,Taiwan,-,2019/03/08,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020080200031991,F,-,-,-,-,32,Taiwan,110,2020/08/02,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019040700015805,F,-,-,-,-,40,Taiwan,241,2019/04/07,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019092100021578,M,-,-,-,-,19,Taiwan,106,2019/09/21,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2019092300021684,M,-,-,-,-,29,Taiwan,-,2019/09/23,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
2020041400028336,F,-,-,-,-,35,Taiwan,-,2020/04/14,一定要收到,-,-,FALSE,FALSE,FALSE,FALSE
