Business_ID,Counter_ID,Category,SITE_ID,Branch
00010942,35017,Kids,9660,禮客公館店
00010943,35061,Sportswear,9660,禮客公館店
00010944,25002,Fashion,9660,禮客公館店
00010945,35036,Men's Wear,9660,禮客公館店
00010946,25009,Fashion,9660,禮客公館店
00010949,55042,Housewares,9660,禮客公館店
00010950,55039,Outdoors,9660,禮客公館店
00010954,35123,Sportswear,9660,禮客公館店
00010955,15065,Accessories,9660,禮客公館店
00010956,35141,Leisurewear,9660,禮客公館店
00010957,35123,Sportswear,9660,禮客公館店
00010958,55029,Housewares,9660,禮客公館店
00010959,35150,Men's Wear,9660,禮客公館店
00010960,35146,Men's Wear,9660,禮客公館店
00010961,15059,Women's Wear,9660,禮客公館店
00010961,15059,Women's Wear,9550,禮客內湖店
00010962,15070,Accessories,9660,禮客公館店
00010962,15070,Accessories,9550,禮客內湖店
00010963,15030,Beauty,9660,禮客公館店
00010963,15030,Beauty,9550,禮客內湖店
00010964,35143,Leisurewear,9550,禮客內湖店
00010964,35143,Leisurewear,9660,禮客公館店
00010965,35008,Sportswear,9550,禮客內湖店
00010965,35008,Sportswear,9660,禮客公館店
00010966,15054,Beauty,9660,禮客公館店
00010966,15054,Beauty,9550,禮客內湖店
00010967,15065,Accessories,9660,禮客公館店
00010967,15065,Accessories,9550,禮客內湖店
00010968,95004,Others,9550,禮客內湖店
00010968,95004,Others,9660,禮客公館店
00010969,55044,Outdoors,9550,禮客內湖店
00010969,55044,Outdoors,9660,禮客公館店
00010970,55045,Housewares,9550,禮客內湖店
00010970,55045,Housewares,9660,禮客公館店
00010971,35123,Sportswear,9550,禮客內湖店
00010971,35123,Sportswear,9660,禮客公館店
00010972,35058,Sportswear,9550,禮客內湖店
00010972,35058,Sportswear,9660,禮客公館店
00010973,15057,Beauty,9550,禮客內湖店
00010973,15057,Beauty,9660,禮客公館店
00010974,55005,Housewares,9660,禮客公館店
00010975,15061,Beauty,9660,禮客公館店
00010976,15067,Accessories,9660,禮客公館店
00010977,35151,Kids,9660,禮客公館店
00010978,55046,Housewares,9660,禮客公館店
00010979,55047,Housewares,9660,禮客公館店
00010980,15071,Beauty,9660,禮客公館店
00010981,15058,Accessories,9660,禮客公館店
00010981,15058,Accessories,9550,禮客內湖店
00010982,15072,Accessories,9660,禮客公館店
00010982,15072,Accessories,9550,禮客內湖店
00010983,35055,Men's Wear,9660,禮客公館店
00010983,35055,Men's Wear,9550,禮客內湖店
00010984,35011,Leisurewear,9550,禮客內湖店
00010984,35011,Leisurewear,9660,禮客公館店
00010985,35012,Sportswear,9550,禮客內湖店
00010985,35012,Sportswear,9660,禮客公館店
00010986,35036,Men's Wear,9550,禮客內湖店
00010986,35036,Men's Wear,9660,禮客公館店
00010987,35044,Men's Wear,9550,禮客內湖店
00010987,35044,Men's Wear,9660,禮客公館店
00010988,35074,Sportswear,9550,禮客內湖店
00010988,35074,Sportswear,9660,禮客公館店
00010989,35118,Men's Wear,9550,禮客內湖店
00010989,35118,Men's Wear,9660,禮客公館店
00010990,35130,Men's Wear,9550,禮客內湖店
00010990,35130,Men's Wear,9660,禮客公館店
00010991,35133,Men's Wear,9660,禮客公館店
00010992,55001,Outdoors,9660,禮客公館店
00010993,55030,Outdoors,9660,禮客公館店
00010994,55033,Outdoors,9660,禮客公館店
00010995,35061,Sportswear,9660,禮客公館店
00010996,15001,Accessories,9660,禮客公館店
00010997,15004,Accessories,9660,禮客公館店
00010998,35086,Men's Wear,9660,禮客公館店
00010999,15069,Accessories,9660,禮客公館店
00011000,35021,Women's Wear,9660,禮客公館店
00011001,35027,Women's Wear,9660,禮客公館店
00011001,35027,Women's Wear,9550,禮客內湖店
00011002,35056,Women's Wear,9660,禮客公館店
00011003,35057,Leisurewear,9660,禮客公館店
00011004,35132,Women's Wear,9660,禮客公館店
00011005,35136,Women's Wear,9660,禮客公館店
00011006,35148,Leisurewear,9660,禮客公館店
00011007,55002,Housewares,9660,禮客公館店
00011008,55024,Housewares,9660,禮客公館店
00011009,25002,Fashion,9660,禮客公館店
00011010,25009,Fashion,9660,禮客公館店
00011011,35017,Kids,9660,禮客公館店
00011012,35152,Sportswear,9660,禮客公館店
00011013,00041,Fashion,9660,禮客公館店
00011014,15064,Accessories,9660,禮客公館店
00011016,35153,Women's Wear,9660,禮客公館店
00011017,35123,Sportswear,9660,禮客公館店
00011018,15023,Beauty,9660,禮客公館店
00011019,35154,Sportswear,9660,禮客公館店
00017062,30457,Sports,9550,禮客內湖店
00017141,30459,Sports,9550,禮客內湖店
